CHORD_ROOT,CHORD_TYPE,FINGER_POSITIONS,CHORD_STRUCTURE,DIFFICULTY
A#,13,"x,1,0,2,3,4",1;3;5;b7;9;11;13,advanced
A#,13,"4,x,3,2,1,1",1;3;5;b7;9;11;13,advanced
A#,13,"1,x,1,2,3,4",1;3;5;b7;9;11;13,advanced
A#,7(#9),"x,1,0,2,4,3",1;3;5;b7;#9,advanced
A#,7(#9),"2,1,3,3,3,x",1;3;5;b7;#9,advanced
A#,7(#9),"1,3,1,2,1,4",1;3;5;b7;#9,advanced
A#,9,"x,2,0,3,4,x",1;3;5;b7;9,advanced
A#,9,"x,1,3,2,4,x",1;3;5;b7;9,advanced
A#,9,"1,x,1,2,1,4",1;3;5;b7;9,advanced
A#,9b5,"0,1,0,2,3,0",1;3;b5;b7;9,advanced
A#,9b5,"2,1,3,1,1,4",1;3;b5;b7;9,advanced
A#,9b5,"x,x,1,2,3,1",1;3;b5;b7;9,advanced
A#,7,"x,1,3,1,4,1",1;3;5;b7,intermediate
A#,7,"1,3,1,2,4,1",1;3;5;b7,intermediate
A#,7,"x,x,1,3,2,4",1;3;5;b7,intermediate
A#,dim7,"2,4,1,3,x,x",1;b3;b5;bb7,advanced
A#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
A#,dim7,"x,x,1,3,2,4",1;b3;b5;bb7,advanced
A#,dim7,"x,1,2,0,3,x",1;b3;b5;bb7,advanced
A#,dim7,"2,x,1,3,x,x",1;b3;b5;bb7,intermediate
A#,dim7,"2,x,1,3,x,x",1;b3;b5;bb7,intermediate
A#,dim7,"3,x,1,4,2,x",1;b3;b5;bb7,advanced
A#,dim7,"x,2,3,1,4,x",1;b3;b5;bb7,advanced
A#,aug,"x,3,2,1,1,x",1;3;#5,advanced
A#,aug,"4,3,2,1,x,x",1;3;#5,advanced
A#,aug,"x,x,4,2,3,1",1;3;#5,advanced
A#,maj,"x,1,3,3,3,x",1;3;5,intermediate
A#,maj,"1,3,4,2,1,1",1;3;5,intermediate
A#,maj,"x,4,3,1,2,1",1;3;5,intermediate
A#,11,"x,1,1,1,1,1",1;3;5;b7;9;11,advanced
A#,11,"3,x,4,2,1,1",1;3;5;b7;9;11,advanced
A#,11,"x,x,1,1,2,1",1;3;5;b7;9;11,advanced
A#,maj9,"x,1,0,4,2,3",1;3;5;7;9,advanced
A#,maj9,"2,1,4,1,x,x",1;3;5;7;9,advanced
A#,maj9,"x,x,4,1,2,1",1;3;5;7;9,advanced
A#,m,"x,1,3,4,2,1",1;b3;5,intermediate
A#,m,"1,3,4,1,1,1",1;b3;5,intermediate
A#,m,"x,x,1,3,4,2",1;b3;5,intermediate
A#,m,"x,x,3,1,1,x",1;b3;5,beginner
A#,7b5,"x,1,2,1,3,x",1;3;b5;b7,advanced
A#,7b5,"x,x,2,4,1,3",1;3;b5;b7,advanced
A#,7b5,"x,x,1,2,3,4",1;3;b5;b7,advanced
A#,m7,"x,1,3,1,2,1",1;b3;5;b7,advanced
A#,m7,"1,3,1,1,4,1",1;b3;5;b7,advanced
A#,m7,"x,x,1,4,2,3",1;b3;5;b7,advanced
A#,dim,"x,1,2,3,4,x",1;b3;b5,intermediate
A#,dim,"x,x,4,3,1,2",1;b3;b5,intermediate
A#,dim,"1,2,3,1,x,x",1;b3;b5,intermediate
A#,6,"x,1,3,3,3,3",1;3;5;6,intermediate
A#,6,"1,x,3,2,4,1",1;3;5;6,intermediate
A#,6,"x,x,1,3,1,4",1;3;5;6,intermediate
A#,7(#5),"x,1,4,1,3,2",1;3;#5;b7,advanced
A#,7(#5),"1,x,1,2,3,1",1;3;#5;b7,advanced
A#,7(#5),"x,1,2,1,1,x",1;3;#5;b7,advanced
A#,7sus4,"x,1,3,1,4,1",1;4;5;b7,advanced
A#,7sus4,"1,3,1,4,1,1",1;4;5;b7,advanced
A#,7sus4,"x,x,1,3,2,4",1;4;5;b7,advanced
A#,maj7,"x,1,3,2,4,1",1;3;5;7,advanced
A#,maj7,"1,4,2,3,1,x",1;3;5;7,advanced
A#,maj7,"x,4,3,1,1,1",1;3;5;7,advanced
A#,5,"1,3,x,x,x,x",1;5,beginner
A#,m6,"x,1,3,0,2,4",1;b3;5;6,advanced
A#,m6,"1,x,3,1,4,1",1;b3;5;6,advanced
A#,m6,"x,x,1,3,1,2",1;b3;5;6,advanced
A#,7(b9),"x,1,0,2,x,3",1;3;5;b7;b9,advanced
A#,7(b9),"3,2,4,1,x,x",1;3;5;b7;b9,advanced
A#,7(b9),"1,x,1,2,1,3",1;3;5;b7;b9,advanced
A#,m9,"3,1,4,2,x,x",1;b3;5;b7;9,advanced
A#,m9,"1,3,1,1,1,4",1;b3;5;b7;9,advanced
A#,m9,"x,2,1,3,4,x",1;b3;5;b7;9,advanced
A#,sus4,"x,1,2,3,4,1",1;4;5,intermediate
A#,sus4,"x,x,1,1,2,4",1;4;5,intermediate
A#,sus4,"1,1,3,4,1,1",1;4;5,intermediate
A#,6-Sep,"x,1,0,0,2,3",1;3;5;6;9,advanced
A#,6-Sep,"2,1,1,1,3,4",1;3;5;6;9,advanced
A#,6-Sep,"x,x,2,1,3,4",1;3;5;6;9,advanced
C#,13,"x,2,1,3,3,4",1;3;5;b7;9;11;13,advanced
C#,13,"3,x,4,2,1,1",1;3;5;b7;9;11;13,advanced
